Image,Type,Matrix_Row,param_1,param_2,param_3
camera,Affine,Forward_row_1,1.0,0.2,10.0
camera,Affine,Forward_row_2,-0.1333333333333334,1.2,16.66666666666668
camera,Affine,Inverse_row_1,0.9782608695652174,-0.1630434782608696,-7.065217391304346
camera,Affine,Inverse_row_2,0.1086956521739131,0.8152173913043479,-14.673913043478272
camera,Perspective,Forward_row_1,0.721100173686053,-0.04633100963779203,50.0
camera,Perspective,Forward_row_2,-0.038215256290695984,0.6955044085251653,50.0
camera,Perspective,Forward_row_3,3.078956526120998e-05,-0.00023973554630865782,1.0
camera,Perspective,Inverse_row_1,1.393474088397942,0.06764437322320108,-73.05592308105716
camera,Perspective,Inverse_row_2,0.07830089420263009,1.4172461850676048,-74.77735396351174
camera,Perspective,Inverse_row_3,-2.4132953736409576e-05,0.00033768154758713405,0.9843225703074638
coins,Affine,Forward_row_1,1.0,0.2,10.0
coins,Affine,Forward_row_2,-0.1333333333333334,1.2,16.66666666666668
coins,Affine,Inverse_row_1,0.9782608695652174,-0.1630434782608696,-7.065217391304346
coins,Affine,Inverse_row_2,0.1086956521739131,0.8152173913043479,-14.673913043478272
coins,Perspective,Forward_row_1,0.6288011601627468,-0.08396659642209128,50.0
coins,Perspective,Forward_row_2,-0.05033533142472364,0.522566030217847,50.0
coins,Perspective,Forward_row_3,6.279965747004738e-05,-0.0005913810286392459,1.0
coins,Perspective,Inverse_row_1,1.6118823494342625,0.1588061428014052,-88.5344246117834
coins,Perspective,Inverse_row_2,0.15611381727493595,1.8265316621167509,-99.13227396958433
coins,Perspective,Inverse_row_3,-8.902909581636006e-06,0.001070203201812688,0.9469349853884473
checkerboard,Affine,Forward_row_1,1.0,0.2,10.0
checkerboard,Affine,Forward_row_2,-0.1333333333333334,1.2,16.66666666666668
checkerboard,Affine,Inverse_row_1,0.9782608695652174,-0.1630434782608696,-7.065217391304346
checkerboard,Affine,Inverse_row_2,0.1086956521739131,0.8152173913043479,-14.673913043478272
checkerboard,Perspective,Forward_row_1,0.22587685904268817,-0.1735952489721334,50.0
checkerboard,Perspective,Forward_row_2,-0.10811633927211817,0.1370488807674737,50.0
checkerboard,Perspective,Forward_row_3,-0.00025379422364346996,-0.002436424546977311,1.0
checkerboard,Perspective,Inverse_row_1,4.556197964847366,0.9112395929694742,-273.3718778908418
checkerboard,Perspective,Inverse_row_2,1.6795396419437358,4.198849104859336,-293.9194373401534
checkerboard,Perspective,Inverse_row_3,0.005248408336507592,0.010461446373183872,0.2145072645154267
astronaut,Affine,Forward_row_1,1.0,0.2,10.0
astronaut,Affine,Forward_row_2,-0.1333333333333334,1.2,16.66666666666668
astronaut,Affine,Inverse_row_1,0.9782608695652174,-0.1630434782608696,-7.065217391304346
astronaut,Affine,Inverse_row_2,0.1086956521739131,0.8152173913043479,-14.673913043478272
astronaut,Perspective,Forward_row_1,0.721100173686053,-0.04633100963779203,50.0
astronaut,Perspective,Forward_row_2,-0.038215256290695984,0.6955044085251653,50.0
astronaut,Perspective,Forward_row_3,3.078956526120998e-05,-0.00023973554630865782,1.0
astronaut,Perspective,Inverse_row_1,1.393474088397942,0.06764437322320108,-73.05592308105716
astronaut,Perspective,Inverse_row_2,0.07830089420263009,1.4172461850676048,-74.77735396351174
astronaut,Perspective,Inverse_row_3,-2.4132953736409576e-05,0.00033768154758713405,0.9843225703074638
chelsea,Affine,Forward_row_1,1.0,0.2,10.0
chelsea,Affine,Forward_row_2,-0.1333333333333334,1.2,16.66666666666668
chelsea,Affine,Inverse_row_1,0.9782608695652174,-0.1630434782608696,-7.065217391304346
chelsea,Affine,Inverse_row_2,0.1086956521739131,0.8152173913043479,-14.673913043478272
chelsea,Perspective,Forward_row_1,0.692084627903536,-0.08143731063895482,50.0
chelsea,Perspective,Forward_row_2,-0.042461902648320754,0.5476656666374723,50.0
chelsea,Perspective,Forward_row_3,6.608472653745623e-05,-0.00048492261773104713,1.0
chelsea,Perspective,Inverse_row_1,1.4615528774074502,0.14615528774074502,-80.38540825740975
chelsea,Perspective,Inverse_row_2,0.11695795120263022,1.7602171655995849,-93.85875584011076
chelsea,Perspective,Inverse_row_3,-3.987076636186412e-05,0.0008439104834953244,0.959798014143327
